R1490	R [0.37,4.87   Confidence: HIGH] 
R1491	R [0.37,4.5   Confidence: HIGH] 
R1492	R [0.37,4.87   Confidence: HIGH] 
R1493	R [0.37,4.87   Confidence: HIGH] 
R1494	R [0.74,4.5   Confidence: HIGH] 
R1495	R [0.37,4.87   Confidence: HIGH] 
R1496	R [0.37,4.87   Confidence: HIGH] 
R1497	R [0.74,4.5   Confidence: HIGH] 
R1498	R [0,4.87   Confidence: HIGH] 
R1499	R [0,5.24   Confidence: HIGH] 
R15	R [0,0.37   Confidence: MEDIUM] 
R150	F [0.74,0   Confidence: HIGH] 
R1500	R [0,5.24   Confidence: HIGH] 
